,price,num_parking,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,median_house_rent_per_week,median_apartment_rent_per_week,avg_years_held,year_sold,price_year_ratio,day_sold,region_fre,suburb_fre,region_price_diff,type_encoded,property_size_bin,suburb_house_price_bin,suburb_apartment_price_bin,num_bath_bed,house_rent_yield,apartment_rent_yield,property/room_ratio,English,Australian
2297,1275000.0,2,House,4983.0,42744,13.875,-33.70583,150.8735,29,0.1,220.1,35.82,555.0,500.0,8.0,2021,395.64787339268054,17,0.29984051036682613,0.0057814992025518345,22169.547872340423,5,4,1,4,6,0.036075,0.04,67.16666666666667,20.4,21.3
2298,711000.0,2,House,15313.0,36244,9.215,-33.94155,150.87334,28,1.5,153.5,32.26,550.0,450.0,10.9,2019,363.86138613861385,14,0.29984051036682613,0.003189792663476874,87169.54787234042,5,4,1,5,6,0.03891156462585034,0.03204053790684077,77.33333333333333,9.4,12.0
2299,850000.0,1,Semi-Detached,14176.0,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,590.0,475.0,12.3,2016,466.038671294001,13,0.29984051036682613,0.003987240829346092,-117830.45212765958,9,4,2,5,5,0.032638297872340426,0.034545454545454546,62.6,15.3,17.0
2300,2000000.0,2,House,4456.0,44044,3.821,-33.70912,151.07001,168,0.1,183.1,21.62,760.0,502.32034632034635,13.5,2021,642.9277942631059,20,0.033293460925039875,0.003787878787878788,69161.67664670665,5,5,3,5,8,0.0304,0.03576580910589876,87.0,26.6,23.6
2301,1450000.0,3,House,9069.0,24388,2.929,-33.90028,150.99309,40,0.1,220.1,20.43,570.0,470.0,14.3,2021,390.702274975272,23,0.29984051036682613,0.0021929824561403508,32169.547872340423,5,7,1,5,7,0.03751898734177215,0.03346456181381147,152.71428571428572,11.0,13.5
2302,1625000.0,2,House,5706.0,31928,0.584,-33.97295,151.11424,37,0.1,220.1,14.87,580.0,430.0,14.5,2021,593.4718100890208,23,0.10127591706539076,0.000996810207336523,136909.4488188976,5,5,3,4,10,0.025133333333333334,0.0344,59.4,8.0,8.8
2303,3700000.0,3,House,23841.0,35412,3.414,-33.88947,151.12753,38,0.1,220.1,8.08,650.0,480.0,14.8,2021,741.839762611276,20,0.1210127591706539,0.003787878787878788,146985.17298187804,5,6,3,4,6,0.022533333333333332,0.03670588235294118,119.33333333333333,12.7,10.6
2304,1855000.0,3,Apartment / Unit / Flat,6347.0,60060,2.728,-33.8112,151.2183,87,0.25,167.6,6.03,1200.0,675.0,15.4,2020,1484.4136566056409,30,0.03728070175438596,0.001594896331738437,-498395.72192513384,1,2,5,8,4,0.0208,0.03190909090909091,38.25,26.3,20.8
2305,875000.0,1,House,18081.0,20592,4.43,-33.86904,150.95102,17,1.5,176.6,23.96,450.0,360.0,15.5,2017,346.8780971258672,3,0.29984051036682613,0.003787878787878788,122169.54787234042,5,7,1,1,8,0.033428571428571426,0.04739240506329114,134.125,,6.1
2306,1165000.0,0,House,7311.0,51636,1.203,-33.89348,151.1372,29,1.5,160.5,7.42,770.0,475.0,15.2,2018,842.0009905894007,27,0.1210127591706539,0.00259170653907496,-53014.827018121956,5,2,4,5,3,0.02355294117647059,0.03207792207792208,55.666666666666664,20.3,16.3
2307,1513000.0,1,Apartment / Unit / Flat,10817.0,58084,2.58,-33.81806,151.16504,57,0.1,220.1,6.67,880.0,550.0,14.0,2021,1112.759643916914,18,0.03728070175438596,0.0021929824561403508,251604.27807486616,1,2,5,6,4,0.020337777777777778,0.03530864197530864,34.5,23.4,18.3
2308,1691500.0,3,House,4097.0,31876,1.204,-33.94238,151.11532,41,0.1,197.9,12.24,610.0,485.0,18.3,2021,568.7438180019782,17,0.10127591706539076,0.0013955342902711324,186909.4488188976,5,4,3,3,4,0.027582608695652173,0.043482758620689656,120.25,10.6,12.0
2309,2390000.0,0,House,12911.0,73944,1.627,-33.88334,151.22781,53,0.76,166.4,2.61,1150.0,525.0,10.2,2019,1188.118811881188,10,0.015151515151515152,0.004984051036682616,-518421.0526315789,5,2,5,6,5,0.024916666666666667,0.03174418604651163,21.4,27.4,17.5
2310,1725000.0,2,House,7616.0,58916,2.159,-33.87113,151.16107,37,1.5,167.6,4.57,835.0,530.0,12.0,2016,842.835894893406,27,0.1210127591706539,0.004186602870813397,-53014.827018121956,5,4,4,7,6,0.025541176470588234,0.02963440860215054,67.5,24.7,20.8
2311,2350000.0,2,House,25813.0,34424,6.572,-33.87913,151.08118,43,1.5,171.9,12.01,750.0,535.0,12.8,2017,1189.2963330029731,19,0.1210127591706539,0.004585326953748007,-753014.827018122,5,6,5,4,8,0.01625,0.03974285714285714,87.625,7.4,6.9
2312,2205000.0,2,House,3329.0,38636,1.031,-33.90113,151.11777,21,0.75,169.6,9.41,750.0,502.32034632034635,17.8,2020,717.4666006927264,20,0.1210127591706539,0.0023923444976076554,196985.17298187804,5,5,3,5,8,0.02689655172413793,0.03576580910589876,78.25,14.9,17.6
2313,3130000.0,2,House,5884.0,67184,1.25,-33.81731,151.20149,77,0.1,197.9,5.36,1000.0,630.0,12.3,2021,1038.5756676557864,13,0.03728070175438596,0.003189792663476874,401604.27807486616,5,5,5,8,6,0.024761904761904763,0.028486956521739132,92.83333333333333,24.4,20.1
2314,1800000.0,0,House,14625.0,56784,2.595,-33.88143,151.15595,31,0.1,220.1,5.31,770.0,560.0,12.2,2021,717.1117705242334,30,0.1210127591706539,0.006379585326953748,196985.17298187804,5,3,3,6,4,0.027613793103448275,0.03328,53.75,23.1,18.3
2315,1985000.0,0,House,1482.0,79300,0.251,-33.85966,151.20425,35,2.0,150.9,0.8,1250.0,950.0,12.794000827472074,2016,1388.2002974714924,25,0.016148325358851676,0.00019936204146730463,-1306790.12345679,5,2,5,,4,0.023214285714285715,0.023523809523809523,28.0,20.1,14.2
2316,1750000.0,3,House,39594.0,40924,18.81,-33.72933,150.99777,112,0.76,166.4,24.76,690.0,550.0,13.9,2019,742.5742574257425,30,0.06120414673046252,0.0085725677830941,-252687.29641693807,5,5,3,6,8,0.02392,0.033846153846153845,87.5,20.0,17.2
